c,largest_lyapunov_exponent,z_span
1.199999999999999956e+00,-2.417700214254152671e-03,2.937297775256930699e+00
1.204999999999999849e+00,9.154489566080534907e-03,2.936087200363294514e+00
1.209999999999999964e+00,1.072436573867093564e-03,2.933627377255821678e+00
1.214999999999999858e+00,3.194321207327483164e-04,2.930052873773495214e+00
1.219999999999999973e+00,6.187048348961037697e-03,2.925475343437697440e+00
1.224999999999999867e+00,1.190248764352108603e-03,2.919987979990810611e+00
1.229999999999999982e+00,-2.320211907117588918e-03,2.913670157560300567e+00
1.234999999999999876e+00,7.946703852890014746e-04,2.906590778436227041e+00
1.239999999999999991e+00,-4.243843679385550169e-03,2.898810743160216141e+00
1.244999999999999885e+00,-5.250611968585405104e-03,2.890384642076584853e+00
1.250000000000000000e+00,2.342395504904626509e-03,2.881362615395490323e+00
1.254999999999999893e+00,1.853766087622989124e-03,2.871791168719110665e+00
1.260000000000000009e+00,4.053106692622744645e-03,2.861714286762316206e+00
1.264999999999999902e+00,5.499265000494591923e-03,2.851174378154613720e+00
1.270000000000000018e+00,6.171505642157222235e-03,2.840212597681355255e+00
1.274999999999999911e+00,3.030867441749909245e-03,2.828869520526523296e+00
1.280000000000000027e+00,-1.612734481531894978e-04,2.817185362153195705e+00
1.284999999999999920e+00,5.718413990447718948e-03,2.805200210953493922e+00
1.290000000000000036e+00,1.829131786105291655e-03,2.792954015066319684e+00
1.294999999999999929e+00,-1.553616002666911682e-03,2.780486710164663755e+00
1.300000000000000044e+00,1.991637785501319032e-03,2.767837672085236012e+00
1.304999999999999938e+00,-1.022281927659036103e-02,2.755046152098732826e+00
1.310000000000000053e+00,-4.679574413168439279e-03,2.742150033896778361e+00
1.314999999999999947e+00,1.746234863739549439e-03,2.729186291876219528e+00
1.319999999999999840e+00,1.453100865359022262e-04,2.716190176451942495e+00
1.324999999999999956e+00,6.732141109945566403e-04,2.703194906275524723e+00
1.330000000000000071e+00,7.988296412546485453e-03,2.690231643354662694e+00
1.334999999999999964e+00,-2.381623537575819610e-03,2.677328607074374922e+00
